Object ID,Permanent Identifier,Source Feature ID,Source Dataset ID,Source Data Description,Source Originator,Data Security,Distribution Policy,Load Date,Feature Type,Feature Code,Name,Is this a Landmark?,Point Location Type,Administration Type,Building Name Address,Address,City,State,ZIP Code,GNIS ID,Foot ID,Complex_Id,Global ID,x,y,latitude,longitude
2208886,7282fda6-fb3d-4053-81f0-96f4e821807e,,b665e61b-c7d0-41fe-aca5-2f30177d1683,740 TNMC Update 7/1/2024,U.S. Geological Survey,5,E4,8/5/2024 17:58,740,74036,Platte Valley Youth Services Center,2,1,,,2200 O Street,Greeley,CO,80631,2757357,,,4876bde0-eef6-4070-b556-af416e4cfd37,-11656673.22,4931726.393,40.45220687,-104.7145051
2223079,e0808d8c-1be5-403c-9b6a-63c30a0f027e,10475891,f72fa5ef-695b-599d-87fe-743aee559ac5,740 TNMC Update 2/22/2018,U.S. Geological Survey,5,E4,2/22/2018 0:00,740,74036,Teller County Jail,2,1,,,288 Weaverville Road,Divide,CO,80814,2696625,,,11b18f9a-80f3-489a-b60a-fd8922904326,-11705393.52,4713527.492,38.943649163287155,-105.1510746
2230779,61d374a2-ae20-45d1-9619-f47b41b1c4b8,,52895fef-8906-4255-bd67-f115ee89c6fb,740 TNMC Update 6/5/2024,U.S. Geological Survey,5,E4,7/12/2024 0:02,740,74036,Four Mile Correctional Center,2,1,,,East US Highway 50 & Evans Boulevard,Canon City,CO,81212,2757351,,,a310c7fe-68ad-4e61-8ec3-a7b3b63596fd,-11704945.12,4640255.286,38.4422506,-105.2348795
2251104,75f4660d-ebea-412f-a0d7-9d11e2b0c181,,69b42fb1-1a2c-59a5-89e3-dd251a3cc166,740 TNMC Update 6/1/2017,U.S. Geological Survey,5,E4,6/1/2017 0:00,740,74036,Arkansas Valley Correctional Facility,2,1,,,12750 US Highway 96,Ordway,CO,81034,2757326,,,e3e318f5-732e-4ec3-b0f2-c2f886456650,-11559620.43,4606283.104,38.2180608,-103.7560606
2256234,1bd4960f-f78e-401c-a5cf-fb309df24082,,8800e653-204b-53a5-bdbc-3bd94efc83c1,740 TNMC Update 6/10/2019,U.S. Geological Survey,5,E4,6/10/2019 0:00,740,74036,Centennial Correctional Facility,2,1,,,East US Highway 50 and Evans Road,Canon City,CO,81215,2757348,,,debedbda-057b-4475-b547-511ea5910810,-11705534.56,4641429.545,38.3999988,-105.2172123
2278705,e5059b4a-109f-480b-b678-707e5d0c8dcc,,{CC44F99C-6658-4584-B606-926E498D5C82},TNMC VWE DB Build - Vol Update,U.S. Geological Survey,5,E4,11/19/2014 9:04,740,74036,Lookout Mountain Youth Services Center,2,1,,,2901 Ford Street,Golden,CO,80401,2757358,,,d79f2777-ecd7-4189-ab68-c6a7d61a1ea3,-11711624.75,4828537.01,39.741893,-105.206268
2314971,fb2fbccb-5e64-4f00-a7ce-b3b908b0bd5e,,f30897e3-b0c9-5106-937e-f79a62159a7f,740 TNMC Update 6/12/2019,U.S. Geological Survey,5,E4,6/12/2019 0:00,740,74036,Arrowhead Correctional Facility,2,1,,,East US Highway 50 and Evans Road,Canon City,CO,81212,2757349,,,402f4f79-35a8-4cf3-9133-6261ace02e4a,-11706210.6,4641163.786,38.4422506,-105.2348795
2340471,e7c79597-090a-4d09-8779-06d20939d78f,,8f14d0f9-d542-53dd-b488-d4bf266367ba,740 TNMC Update 1/3/2023,U.S. Geological Survey,5,E4,1/3/2023 0:00,740,74036,Skyline Correctional Center,2,1,,,East US Highway 50 and Evans Road,Cañon City,CO,81212,2757350,,,655a2f6a-a34a-4a10-8db8-3294dcce9586,-11706173.97,4640380.479,38.4422506,-105.2348795
2342348,fac0971e-881b-4d53-9a51-f6cc0bb74dc9,10475940,477a8e3a-e0e2-590b-82ea-1589b94f44be,740 TNMC Update 7/3/2019,U.S. Geological Survey,5,E4,7/3/2019 0:00,740,74036,La Vista Correctional Facility,2,1,,,1401 West 17th Street,Pueblo,CO,81003,2696651,,,3cfb26ce-2c4e-416d-b6e4-bf3b266ed272,-11647320.01,4619753.761,38.282511723058995,-104.6264038
2354396,32040f8d-c2b1-45dc-bb10-dd2612be922e,RCD-033,16d506fe-861c-58f5-abfa-55636c0ce21b,740 TNMC Update 3/5/2021,U.S. Geological Survey,5,E4,3/5/2021 0:00,740,74036,Federal Correctional Institution Florence - Medium,2,1,,,5880 State Highway 67 South,Florence,CO,81226,2696645,,,ebfc0a79-6d06-4f80-9da0-50daecf321bc,-11699810.95,4630295.757,38.365505,-105.102822
2363285,f11c9e59-dec1-4620-bbd6-c7e953b9a149,CO000145,b19d4285-a0b8-5f5a-8dc9-177e87663802,740 TNMC Update 4/27/2023,U.S. Geological Survey,5,E4,4/27/2023 0:00,740,74036,Boulder County Jail,2,1,,,3200 Airport Road,Boulder,CO,80301,2041828,,,c5d1cff7-5610-4de5-aef2-688595398e4d,-11714410.53,4870889.16,40.0340039,-105.2319749
2383887,cb764baf-52bd-4b87-8f5c-67611f85df6f,10174811,bd5c7f01-86f2-52ce-b08b-fb6f2f1f9fb9,740 TNMC Update 10/10/2017,U.S. Geological Survey,5,E4,10/10/2017 0:00,740,74036,Youthful Offender System Prison,2,1,,,1300 West 13th Street,Pueblo,CO,81003,2696653,,,e542d3ad-bbf5-4454-affe-44eae0ab4d35,-11647089.04,4618876.316,38.27882397979798,-104.6241237
2395037,f239e155-5d22-40e7-89aa-f81021ce118d,,226cb355-659c-5c2a-b3e6-f139feafd636,740 TNMC Update 6/18/2019,U.S. Geological Survey,5,E4,6/18/2019 0:00,740,74036,Bent County Correctional Facility,2,1,,,11560 County Road FF 75,Las Animas,CO,81054,2757327,,,8652d5fd-c312-4472-9092-df0ab62b1356,-11488795.56,4588621.58,38.0629578,-103.2094052
2401894,8a0b254f-3c03-4fff-ad81-00875f2b9683,10174804,b179b17b-0b4e-5c93-886d-fdda8d8e8a5d,740 TNMC Update 6/17/2019,U.S. Geological Survey,5,E4,6/17/2019 0:00,740,74036,Trinidad Correctional Facility,2,1,,,21000 US Highway 350 East,Model,CO,81059,2696618,,,ef79256e-f396-4215-b2b6-f24f8accebfc,-11609236.59,4481195.601,37.3729078,-104.2445319
